Price,Processor,RAM_GB,RAM_Type,CPU_bit,OS,Screen_size_cm,Storage_Capacity_SSD_GB,Storage_Capacity_HDD_GB,Storage_Capacity_EMMC_GB,Brand,Graphics_capa_GB,Years_warranty,Ratings
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
39990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
32990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.3
49990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 10,39.62,512.0,0.0,0.0,HP,4.0,1,4.4
49990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,4.0,1,4.4
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,HP,0.5,1,4.2
38990.0,Intel OptaneIntel Core i3,8,DDR4,64,Windows 11,39.62,256.0,1024.0,0.0,DELL,0.5,1,4.3
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
46990.0,Intel Core i3,8,DDR4,64,Windows 10,35.56,256.0,0.0,0.0,realme,0.5,1,4.4
44990.0,AMD Ryzen 7 Quad Core,16,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,ASUS,0.5,1,4.1
59990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,4.0,1,4.4
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
32990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,ASUS,0.5,1,4.3
52990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,43.94,512.0,0.0,0.0,ASUS,0.5,1,4.4
29990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,acer,0.5,1,4.3
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
47990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,256.0,1024.0,0.0,ASUS,0.5,1,4.3
