Processor_AMD Dual Core,Processor_AMD Ryzen 3 Dual Core,Processor_AMD Ryzen 3 Hexa Core,Processor_AMD Ryzen 3 Quad Core,Processor_AMD Ryzen 5 Dual Core,Processor_AMD Ryzen 5 Hexa Core,Processor_AMD Ryzen 5 Quad Core,Processor_AMD Ryzen 7 Octa Core,Processor_AMD Ryzen 7 Quad Core,Processor_AMD Ryzen 9 Octa Core,Processor_Apple M1,Processor_Apple M1 Max,Processor_Apple M1 Pro,Processor_Apple M2,Processor_Intel Celeron Dual Core,Processor_Intel Celeron Quad Core,Processor_Intel Core i3,Processor_Intel Core i5,Processor_Intel Core i7,Processor_Intel Core i9,Processor_Intel Evo Core i5,Processor_Intel OptaneIntel Core i3,Processor_Intel Pentium Quad Core,Processor_Intel Pentium Silver,Processor_Qualcomm Snapdragon 7c Gen 2,CPU_bit_64,"Screen_size_cm_cat_(32, 34]","Screen_size_cm_cat_(34, 36]","Screen_size_cm_cat_(36, 38]","Screen_size_cm_cat_(38, 40]","Screen_size_cm_cat_(40, 42]","Screen_size_cm_cat_(42, 44]",RAM_GB,OS,RAM_Type,Storage_Capacity_SSD_GB,Storage_Capacity_HDD_GB,Storage_Capacity_EMMC_GB,Graphics_capa_GB,Years_warranty,Price
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,3,3.0,1.0,1.0,1.0,2,36990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,39990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,32990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,3,4.0,1.0,1.0,3.0,1,49990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,3.0,1,49990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,3,3.0,1.0,1.0,1.0,1,36990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,4,3,3.0,3.0,1.0,1.0,1,38990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,39990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,3,3.0,1.0,1.0,1.0,1,46990.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,4,3,4.0,1.0,1.0,1.0,1,44990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,3.0,1,59990.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,38705.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,3.0,1.0,1.0,1.0,1,32990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,3,4.0,1.0,1.0,1.0,1,52990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,3.0,1.0,1.0,1.0,1,29990.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,5,5.0,1.0,1.0,1.0,1,196990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,3.0,3.0,1.0,1.0,1,47990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,45990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,3.0,1,47990.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,5.0,1.0,1.0,3.0,1,85990.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,3,3.0,1.0,1.0,1.0,1,88990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,3,4.0,1.0,1.0,1.0,1,40990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,3.0,2.0,1.0,1.0,1,19490.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,35590.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,3.0,1,65990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,39990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,39990.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,5,5.0,1.0,1.0,1.0,1,196990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,4.0,1.0,1.0,3.0,1,58990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,3,3.0,1.0,1.0,1.0,1,46990.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,38705.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,5.0,1.0,1.0,3.0,1,85990.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,3.0,1.0,1.0,1.0,1,24990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,3.0,1,47990.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,3,4.0,1.0,1.0,1.0,1,73990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,53490.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,35590.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,5.0,1.0,1.0,1.0,1,150990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,3.0,1,51990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,4,3,4.0,1.0,1.0,1.0,1,66990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,3,3.0,1.0,1.0,1.0,2,36990.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,5,5.0,1.0,1.0,5.0,1,194990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,4.0,1.0,1.0,3.0,1,51990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,3,3.0,1.0,1.0,1.0,1,25990.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,35990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,43990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,44990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,64490.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,3.0,1.0,1.0,1.0,1,40990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,3,4.0,1.0,1.0,1.0,1,38990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,3,3.0,1.0,1.0,1.0,2,36990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,39990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,58990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,3,3,4.0,1.0,1.0,1.0,1,59990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,3,4.0,1.0,1.0,3.0,1,47990.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,37499.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,5,5.0,1.0,1.0,1.0,1,196990.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,38705.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,3,5.0,1.0,1.0,1.0,1,94990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,32990.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,5.0,1.0,1.0,3.0,1,85990.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,35590.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,3,3.0,1.0,1.0,1.0,1,23990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,4,3,4.0,1.0,1.0,1.0,1,48990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,6,4.0,1.0,1.0,1.0,1,139990.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,4.0,1.0,1.0,1.0,1,89990.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,5.0,1.0,1.0,1.0,1,150990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,39990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,5.0,1.0,1.0,3.0,1,59990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,3,4.0,1.0,1.0,3.0,1,70990.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,5,5.0,1.0,1.0,5.0,1,194990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,2,44990.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,2,3.0,1.0,1.0,1.0,1,22990.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,3,4.0,1.0,1.0,1.0,1,46990.0
